,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,San-Pedro,44,CI,1560207947,98,4.75,-6.64,70.97,2.35
280,Sangre Grande,20,TT,1560207949,65,10.59,-61.13,82.99,11.41
281,Mazagao,90,BR,1560207950,94,-0.12,-51.29,80.6,8.05
282,Puerto Rico,92,PY,1560207951,77,-26.82,-55.03,64.31,4.34
283,Sao Gabriel da Cachoeira,83,BR,1560207758,96,-0.13,-67.09,74.57,0.54
284,Huicungo,2,PE,1560207953,47,-7.28,-76.8,73.49,4.05
285,Barahona,40,DO,1560207666,74,18.21,-71.1,86.0,17.22
286,Codrington,40,AU,1560207956,100,-28.95,153.24,64.0,2.71
287,Marabba,96,SD,1560207957,51,12.35,32.18,87.17,10.96
288,Maraa,91,BR,1560207958,95,-1.83,-65.37,75.47,0.92
289,Mumford,59,GH,1560207959,90,5.26,-0.76,74.21,2.8
290,Mgandu,0,TZ,1560207961,70,-5.96,34.11,58.01,8.25
291,Ndjole,33,GA,1560207962,93,-0.18,10.76,72.41,2.86
292,Ugoofaaru,90,MV,1560207963,80,5.67,73.0,83.57,15.52
293,Micheweni,3,TZ,1560207964,72,-4.97,39.83,82.13,20.78
294,Alenquer,75,BR,1560207966,88,-1.95,-54.74,78.8,2.24
295,Augusto Correa,38,BR,1560207967,99,-1.02,-46.63,74.21,2.08
296,Mitsamiouli,20,KM,1560207968,69,-11.38,43.28,78.8,4.7
297,Mizan Teferi,91,ET,1560207969,88,6.99,35.58,62.33,3.22
298,Kisesa,74,TZ,1560207970,47,-2.55,33.05,72.23,8.46
299,Azare,75,NG,1560207972,36,11.67,10.19,89.87,5.97
300,Araouane,13,ML,1560207973,23,18.9,-3.53,99.59,11.45
301,Yenagoa,100,NG,1560207974,89,4.92,6.26,74.93,3.8
302,Makokou,27,GA,1560207975,96,0.56,12.85,71.15,2.86
303,Afonso Bezerra,100,BR,1560207698,84,-5.5,-36.51,76.55,6.33
304,Mandiana,98,GN,1560207978,89,10.62,-8.7,75.29,7.61
305,Kapchorwa,60,UG,1560207979,93,1.4,34.45,64.13,3.4
306,Goure,42,NE,1560207980,9,13.98,10.27,93.47,6.85
307,Areka,99,ET,1560207981,82,7.07,37.71,64.13,2.28
308,Port Elizabeth,75,US,1560207930,94,39.31,-74.98,78.01,8.05
309,Argelia,40,CO,1560207984,88,4.73,-76.12,77.0,5.82
310,Chiriguana,100,CO,1560207985,84,9.36,-73.6,81.23,5.35
311,Ferkessedougou,100,CI,1560207728,87,9.6,-5.2,76.01,8.95
312,Kolhapur,96,IN,1560207987,80,16.7,74.24,77.27,3.98
313,Bereda,40,ES,1560207989,87,43.27,-7.54,55.4,1.12
314,Maracaibo,75,CO,1560207990,54,3.41,-75.78,84.2,10.29
315,Khartoum,0,SD,1560207991,42,15.59,32.54,86.0,13.87
316,Sao Paulo de Olivenca,80,BR,1560207992,96,-3.38,-68.87,74.39,0.58
317,Alta Floresta,100,BR,1560207994,65,-9.87,-56.08,76.91,3.33
318,Nieuwpoort,16,BE,1560207851,87,51.13,2.75,53.01,5.82
319,Waterloo,90,CA,1560207831,93,43.47,-80.52,60.8,16.11
320,Sarh,0,TD,1560207997,83,9.14,18.39,82.4,3.09
321,Bulungu,35,CD,1560207999,40,-4.54,18.6,71.69,4.18
322,Save,100,BJ,1560208000,93,8.04,2.49,74.57,7.31
323,Camopi,84,GF,1560208001,99,3.17,-52.33,73.67,2.24
324,Cururupu,18,BR,1560208002,98,-1.82,-44.87,73.49,1.32
325,Juba,0,EE,1560208003,77,57.82,26.93,60.01,3.36
326,San Jose de Sisa,20,PE,1560208005,290,-6.62,-76.69,62.6,3.36
327,Carolina,90,PR,1560207993,70,18.38,-65.96,86.0,8.05
328,Aquiraz,40,BR,1560208007,74,-3.9,-38.39,82.4,16.11
329,Santa Maria,0,BR,1560208009,77,-29.69,-53.81,66.2,1.12
330,Mweka,34,CD,1560208011,46,-4.85,21.56,68.63,2.86
331,Olinda,75,EC,1560208012,66,-2.03,-79.75,86.0,6.93
332,Charlestown,90,US,1560208013,100,41.38,-71.64,71.01,10.29
333,Lagos,20,NG,1560207941,88,6.46,3.39,80.6,2.24
334,Kayes,90,ML,1560208016,32,14.44,-11.44,95.27,8.28
335,Witu,20,KE,1560208017,83,-2.39,40.44,78.8,4.7
336,Impfondo,26,CD,1560208018,63,1.62,18.06,75.11,0.85
337,Ikwiriri,0,TZ,1560208019,72,-7.96,38.99,69.17,4.12
338,Mbandaka,12,CD,1560208021,62,0.05,18.26,73.13,1.21
339,Polonnaruwa,100,LK,1560208022,72,7.94,81.0,80.33,6.42
340,Ginir,39,ET,1560208023,93,7.14,40.71,55.49,8.5
341,Wagar,1,US,1560208024,59,31.44,-87.99,90.0,3.0
342,Santa Marta,75,CO,1560208026,74,11.24,-74.21,86.0,6.93
343,Mana,0,RS,1560208027,93,43.52,20.24,62.6,1.12
344,Wajir,55,KE,1560208028,62,1.75,40.07,76.91,14.16
345,Gitega,91,BI,1560208029,82,-3.43,29.93,57.29,2.01
346,Pauini,17,BR,1560208031,72,-7.71,-67.0,77.99,1.74
347,Veraval,98,FR,1560208032,93,49.65,0.71,48.2,4.7
348,Kintinku,5,TZ,1560208033,62,-5.89,35.22,63.77,1.1
349,Loandjili,20,CG,1560208034,94,-4.77,11.87,73.4,2.24
350,Kaduqli,100,SD,1560208035,62,11.01,29.72,81.77,3.06
351,San Antero,40,CO,1560208037,79,9.38,-75.76,86.0,13.09
352,Ewo,99,CG,1560208038,56,-0.88,14.81,80.69,2.51
353,Miraflores,93,CO,1560208040,98,5.2,-73.14,56.75,2.17
354,Crateus,54,BR,1560208041,69,-5.18,-40.68,72.95,4.18
355,Ginda,0,IN,1560208042,26,30.69,78.49,62.69,6.55
356,Koani,20,TZ,1560208043,74,-6.13,39.28,78.8,9.17
357,Saint-Louis,100,CH,1560208045,100,47.59,7.56,57.2,3.36
358,Bumba,27,CD,1560208046,70,2.18,22.47,73.49,1.95
359,Mbini,90,GQ,1560208047,87,1.58,9.62,76.19,7.23
